Unnamed: 0,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
1063,42,1990,7133494,1.99,-26894.0,20.3,3.58,148,55.6,88
1677,68,1955,9828494,1.03,4951.0,30.8,2.69,109,54.4,37
2585,106,1975,13420369,2.14,-1160.0,19.4,5.87,94,4.8,46
3588,151,2020,1160164,1.05,-8353.0,20.7,3.03,67,30.0,159
3650,154,2000,16410848,2.73,-26000.0,18.7,4.3,89,51.9,56
1878,75,2017,9785843,2.42,10220.0,22.4,3.26,110,90.0,91
865,32,1995,3545534,2.59,13840.0,24.1,3.07,69,54.0,124
3567,149,1965,8770097,3.06,0.0,17.1,6.75,5,13.4,61
3813,162,1990,1221116,0.85,-9077.0,24.1,2.75,238,54.2,149
2409,99,1970,3595555,1.51,14890.0,26.3,2.66,109,32.1,102
3804,162,2019,1394973,0.37,-800.0,34.3,1.78,272,52.4,153
4162,177,2018,17351708,2.96,-8000.0,16.9,5.09,23,44.2,65
130,4,2005,81465,1.39,50.0,29.5,2.16,185,32.0,201
3618,152,1980,8316338,0.29,17713.0,36.3,1.66,20,83.1,70
2544,105,2005,1938320,1.55,-188.0,19.5,3.6,2,38.4,146
550,21,1965,8222589,0.84,-287.0,32.0,2.22,76,45.8,52
4065,172,1980,115597,2.97,-87.0,17.5,5.75,9,14.7,188
1066,42,1975,5144637,2.71,-14165.0,17.0,5.68,106,45.8,85
3296,136,1975,8497170,0.91,-4130.0,29.9,2.36,97,43.1,64
1519,62,2018,17247849,1.97,-9215.0,21.6,3.13,161,51.0,66
1876,75,2019,10101694,1.37,10220.0,22.4,3.26,114,90.9,89
3322,138,2017,7488423,2.18,-4200.0,18.9,4.73,104,42.0,103
837,31,1960,1018253,2.25,0.0,19.2,5.79,3,32.2,138
3711,157,1965,11634832,2.97,5008.0,17.1,6.8,13,6.1,46
725,28,1980,4514430,2.0,-35100.0,17.5,6.87,4,18.8,100
4191,178,1975,6293875,3.54,-9109.0,15.4,7.4,16,19.3,79
978,38,1970,9817669,0.01,-25820.0,33.6,1.96,127,64.4,53
88,3,2020,32866272,3.27,6413.0,16.7,5.55,26,66.7,44
2992,126,1995,513442,1.51,-2026.0,29.0,3.74,44,95.0,164
2784,115,1960,3582507,0.87,-1888.0,34.3,2.84,10,49.9,90
3421,141,1975,193402,3.83,86.0,16.3,7.24,7,9.1,175
2746,114,1975,1803010,0.94,-12200.0,24.0,2.86,71,50.6,133
3655,154,1975,7535714,3.48,-16300.0,15.8,7.54,41,45.1,68
1749,70,1955,19294127,2.42,-218.0,20.9,6.91,12,30.6,27
2776,115,2000,4499367,0.6,11755.0,36.9,1.86,12,76.0,115
612,25,2015,15521436,1.64,-30000.0,24.0,2.7,88,22.2,70
1012,40,1980,5123945,0.24,2985.0,34.3,1.68,121,83.7,92
2960,124,1975,9172241,1.18,21637.0,29.8,2.83,100,41.0,61
4032,170,1965,2694536,1.2,-1200.0,29.3,2.9,15,81.3,108
1327,54,2010,1624140,3.15,12740.0,21.2,4.2,6,86.4,150
625,26,2020,26545863,2.59,-4800.0,18.7,4.6,56,56.3,52
228,8,1965,7305158,0.65,3199.0,34.7,2.78,89,65.0,59
2800,116,1970,723851,2.98,-1000.0,16.9,7.31,2,29.7,148
3298,136,1965,7835083,0.73,-17628.0,29.2,2.51,90,34.2,56
1879,75,2016,9554286,3.1,10220.0,22.4,3.26,108,89.6,92
2803,116,1955,495818,1.67,-2000.0,18.5,7.25,2,12.0,149
480,19,1960,502745,1.65,-6124.0,18.3,6.58,1,3.2,151
1602,66,1975,5094577,1.73,-17600.0,19.3,5.6,185,20.6,86
1237,50,2010,859818,0.91,-4738.0,26.5,2.75,47,52.2,160
1245,50,1970,520562,2.33,-2856.0,17.7,5.0,28,34.8,155
1023,41,2015,913993,1.7,1200.0,25.0,3.1,39,78.6,160
3409,141,2019,669823,2.6,-1600.0,19.6,4.44,24,23.0,166
4055,172,2018,292680,2.51,120.0,20.8,3.96,24,24.4,181
1439,58,1985,9968238,0.7,20048.0,33.9,2.06,77,70.6,63
1373,56,1960,4007723,1.54,13637.0,27.8,2.91,58,43.1,84
2720,113,2015,25183833,0.51,-5403.0,34.1,1.93,209,61.4,51
